cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	Concepticon_Gloss	Concepticon_ID	concept_url
the Seumalur 1912 list	1	bàdàn	NA	lichaam	body	badan, tubuh	4	4	1	FALSE									BODY	1480	https://concepticon.clld.org/parameters/1480
the Seumalur 1912 list	2	oeloe	NA	hoofd	head	kepala	5	5	2	TRUE									HEAD	1256	https://concepticon.clld.org/parameters/1256
the Seumalur 1912 list	3	bòbàngon	1	gezicht, aangezicht	face	muka, wajah	6	6	3	FALSE				face					FACE	1560	https://concepticon.clld.org/parameters/1560
the Seumalur 1912 list	3	mata' egeu	1	gezicht, aangezicht	face	muka, wajah	6	6	3	FALSE				face					FACE	1560	https://concepticon.clld.org/parameters/1560
the Seumalur 1912 list	3	bòbàngon	1	gezicht, aangezicht	face	muka, wajah	6	6	3	FALSE			pamàndàngàn	the act of seeing					FACE	1560	https://concepticon.clld.org/parameters/1560
the Seumalur 1912 list	3	mata' egeu	1	gezicht, aangezicht	face	muka, wajah	6	6	3	FALSE			pamàndàngàn	the act of seeing					FACE	1560	https://concepticon.clld.org/parameters/1560
the Seumalur 1912 list	4	màta bàngo	NA	voorhoofd	forehead	dahi	24	25	4	FALSE									FOREHEAD	123	https://concepticon.clld.org/parameters/123
the Seumalur 1912 list	5	oeloe	NA	schedel	skull	tempurung kepala	26	27	5	FALSE									SKULL	1605	https://concepticon.clld.org/parameters/1605
the Seumalur 1912 list	6	boe oeloe	NA	hoofdhaar	hair	rambut	72	73	6	TRUE									HAIR	1040	https://concepticon.clld.org/parameters/1040
the Seumalur 1912 list	8	boe foei	NA	kruin (v.h.hoofd)	crown	hulu kepala	7	7	8	FALSE									CROWN (OF HEAD)	1943	https://concepticon.clld.org/parameters/1943
the Seumalur 1912 list	9	ojoe	NA	oor	ear	telinga	8	8	9	TRUE									EAR	1247	https://concepticon.clld.org/parameters/1247
the Seumalur 1912 list	11	màtà	NA	oog	eye	mata	9	9	11	TRUE									EYE	1248	https://concepticon.clld.org/parameters/1248
the Seumalur 1912 list	15	boe màta banong	NA	wenkbrauw	eyebrow	alis (tunggal)	25	26	-	FALSE									EYEBROW	1173	https://concepticon.clld.org/parameters/1173
the Seumalur 1912 list	17	wéh màta	NA	traan	tear	air mata (tunggal)	10	10	-	FALSE									TEAR (OF EYE)	1651	https://concepticon.clld.org/parameters/1651
the Seumalur 1912 list	18	ihoeng	NA	neus	nose	hidung	11	11	16	TRUE									NOSE	1221	https://concepticon.clld.org/parameters/1221
the Seumalur 1912 list	20	inggol	NA	snot	mucus	ingus	-	12	18	FALSE									NASAL MUCUS (SNOT)	208	https://concepticon.clld.org/parameters/208
the Seumalur 1912 list	21	asàng	NA	wang	cheek	pipi	23	24	19	FALSE									CHEEK	1730	https://concepticon.clld.org/parameters/1730
the Seumalur 1912 list	22	baba	NA	mond	mouth	mulut	12	13	-	TRUE									MOUTH	674	https://concepticon.clld.org/parameters/674
the Seumalur 1912 list	25	bibir	NA	lippen	lips	bibir (jamak)	13	14	-	FALSE									LIP	478	https://concepticon.clld.org/parameters/478
the Seumalur 1912 list	27	soesoemboei	NA	knevel	moustache	kumis	21	22	23	FALSE									MOUSTACHE	1165	https://concepticon.clld.org/parameters/1165
the Seumalur 1912 list	28	djànggoei	NA	sik	goatee	janggut seperti, janggut kambing	22	23	-	FALSE									BEARD	678	https://concepticon.clld.org/parameters/678
the Seumalur 1912 list	29	síbí	NA	kin	chin	dagu	19	20	24	FALSE									CHIN	1510	https://concepticon.clld.org/parameters/1510
the Seumalur 1912 list	30	djànggoei	NA	baard	beard	janggut	20	21	25	FALSE									BEARD	678	https://concepticon.clld.org/parameters/678
the Seumalur 1912 list	31	líla	NA	tong	tongue	lidah	15	16	26	TRUE									TONGUE	1205	https://concepticon.clld.org/parameters/1205
the Seumalur 1912 list	32	ana' lidah	NA	verhemelte	palate	langit-langit	16	17	27	FALSE									PALATE	540	https://concepticon.clld.org/parameters/540
the Seumalur 1912 list	33	èhèn	NA	tand	tooth	gigi	17	18	28	TRUE									TOOTH	1380	https://concepticon.clld.org/parameters/1380
the Seumalur 1912 list	34	bàngàn	NA	kies	molar	geraham	18	19	29	FALSE									MOLAR TOOTH	1049	https://concepticon.clld.org/parameters/1049
the Seumalur 1912 list	35	nèngèn	NA	tandvlees	gums	gusi	-	-	30	FALSE									GUMS	139	https://concepticon.clld.org/parameters/139
the Seumalur 1912 list	37	lèngkèl	NA	keel	throat	kerongkongan	14	15	32	FALSE									THROAT	1346	https://concepticon.clld.org/parameters/1346
the Seumalur 1912 list	38	koedok	NA	hals	neck	leher	27	28	33	TRUE									NECK	1333	https://concepticon.clld.org/parameters/1333
the Seumalur 1912 list	41/42	arob	NA	borsten < unsp. >	chest, breast (male) [ID_41]; breasts (female) [ID_42]	dada (laki-laki, jamak) [ID_41]; dada (perempuan, jamak) [ID_42]	34	36	-	TRUE									BREAST	1402	https://concepticon.clld.org/parameters/1402
the Seumalur 1912 list	45	toetoe	NA	tepel	nipple	puting susu	35	37	38	FALSE									NIPPLE	796	https://concepticon.clld.org/parameters/796
the Seumalur 1912 list	46	wéh toetoe	NA	melk	breast milk	air susu	36	38	39	FALSE									BREAST MILK	3912	https://concepticon.clld.org/parameters/3912
the Seumalur 1912 list	48	mè' toetoe	NA	zuigen <aan de borst>	to suck at the breast	menyusu	38	39	40	FALSE									SUCKLE (BREASTFEED, NURSE)	2472	https://concepticon.clld.org/parameters/2472
the Seumalur 1912 list	50	sot roesoe	NA	rib	rib	tulang rusuk	69	70	42	FALSE									RIB	801	https://concepticon.clld.org/parameters/801
the Seumalur 1912 list	52	haté	NA	hart	heart	jantung	29	31	44	TRUE									HEART	1223	https://concepticon.clld.org/parameters/1223
the Seumalur 1912 list	53	bísíl sèbàl	NA	maag	stomach	lambung	28	30	-	FALSE									STOMACH	819	https://concepticon.clld.org/parameters/819
the Seumalur 1912 list	54	bísíl	NA	bulk	belly	perut	31	33	45	TRUE									BELLY	1251	https://concepticon.clld.org/parameters/1251
the Seumalur 1912 list	55	tambonsoe	NA	darmen	intestines	usus	-	-	46	TRUE	guts								INTESTINES	1991	https://concepticon.clld.org/parameters/1991
the Seumalur 1912 list	56	límpa	NA	lever	liver	hati	30	32	47	TRUE									LIVER	1224	https://concepticon.clld.org/parameters/1224
the Seumalur 1912 list	57	majêriw	NA	gal	bile	empedu	-	29	48	FALSE									BILE	1780	https://concepticon.clld.org/parameters/1780
the Seumalur 1912 list	61	poesé	NA	navel	navel	pusat	32	34	52	FALSE									NAVEL	1838	https://concepticon.clld.org/parameters/1838
the Seumalur 1912 list	62	tali niferit	NA	navelstreng	umbilical cord	tali pusat	33	35	53	FALSE		ocr error as tall pusat							UMBILICAL CORD	2663	https://concepticon.clld.org/parameters/2663
the Seumalur 1912 list	63	têpoe tepoe	NA	rug	back	belakang, punggung	39	40	54	TRUE									BACK	1291	https://concepticon.clld.org/parameters/1291
the Seumalur 1912 list	66	alivàlàn	NA	schouderblad	shoulderblade	tulang belikat	43	44	-	FALSE									SHOULDERBLADE	172	https://concepticon.clld.org/parameters/172
the Seumalur 1912 list	68	dalantai	NA	bil	buttock	pantat bagian kiri atau kanan	45	46	-	FALSE		ocr error as belgian but also fixed the Indonesian spelling to bagian							BUTTOCKS	834	https://concepticon.clld.org/parameters/834
the Seumalur 1912 list	69	mè'oeri	NA	achterste	posterior, buttocks	pantat	44	45	-	FALSE									BUTTOCKS	834	https://concepticon.clld.org/parameters/834
the Seumalur 1912 list	70	sodhio	NA	stuit	tailbone, coccyx	tulang tungging, tulang ekor	46	47	57	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
